iso3,country_name,country_name_microsoft,ms_ai_diffusion_h1_2025_pct,ms_ai_diffusion_h2_2025_pct,ms_ai_diffusion_change_pct_points,country_name_imf,imf_aipi_index_2023,imf_aipi_digital_infrastructure_2023,imf_aipi_human_capital_labor_2023,imf_aipi_innovation_economic_integration_2023,imf_aipi_regulation_ethics_2023,country_name_wgi,wgi_control_corruption_latest,wgi_government_effectiveness_latest,wgi_political_stability_latest,wgi_rule_of_law_latest,wgi_regulatory_quality_latest,wgi_voice_accountability_latest,wgi_control_corruption_year,wgi_government_effectiveness_year,wgi_political_stability_year,wgi_rule_of_law_year,wgi_regulatory_quality_year,wgi_voice_accountability_year,country_name_wdi,wdi_population_total_latest,wdi_population_total_latest_year,wdi_gdp_per_capita_ppp_current_intl_latest,wdi_gdp_per_capita_ppp_current_intl_latest_year,wdi_individuals_using_internet_pct_latest,wdi_individuals_using_internet_pct_latest_year,wdi_tertiary_enrollment_gross_pct_latest,wdi_tertiary_enrollment_gross_pct_latest_year,wdi_rd_expenditure_pct_gdp_latest,wdi_rd_expenditure_pct_gdp_year,country_name_oecd,oecd_ai_policy_initiatives_total,oecd_ai_policy_initiatives_since_2020,oecd_ai_policy_initiatives_since_2022,oecd_ai_policy_initiatives_since_2024,oecd_ai_policy_initiatives_with_missing_year,oecd_ai_policy_initiatives_genai_mentioned,oecd_ai_policy_instrument_rows_total,oecd_ai_policy_rows_guidance_regulation,oecd_ai_policy_rows_governance,oecd_ai_policy_rows_financial_support,oecd_ai_policy_rows_enabler_incentive,country_name_anthropic_2025,anthropic_gdp_per_working_age_capita_2025_aug,anthropic_claude_usage_count_2025_aug,anthropic_claude_usage_pct_2025_aug,anthropic_claude_usage_per_capita_2025_aug,anthropic_claude_usage_per_capita_index_2025_aug,anthropic_usage_tier_2025_aug,anthropic_working_age_pop_2025_aug,anthropic_claude_usage_count_2026_feb,anthropic_claude_usage_pct_2026_feb,country_name_anthropic_2026,is_eu27,governance_regime_cfp,has_oecd_ai_policy_data,log_gdp_per_capita_ppp,log_population,log_oecd_policy_initiatives_plus1,analysis_ready_core_cross_section,analysis_ready_with_oecd_policy,analysis_ready_anthropic_robustness_2025,analysis_ready_anthropic_robustness_2026,log_gdp_per_capita_ppp_z,wdi_individuals_using_internet_pct_latest_z,log_population_z,wgi_government_effectiveness_latest_z,wgi_regulatory_quality_latest_z,wgi_rule_of_law_latest_z,imf_aipi_index_2023_z,log_oecd_policy_initiatives_plus1_z,anthropic_claude_usage_per_capita_index_2025_aug_z,institutional_capacity_z,ai_diffusion_fraction,logit_ai_diffusion,log_anthropic_per_capita_index,policy_intensity_z,digital_infra_z,reg_ethics_z,human_capital_z,innovation_integration_z,governance_instrument_ratio,guidance_regulation_ratio,financial_support_ratio,expected_diffusion_basic_access_pct,ai_capability_conversion_gap_pct,ai_capability_conversion_gap_z,access_assets_z,fs_IC,fs_RD,fs_AC,fs_RG,fs_Y,broad_mass_diffusion_z,specialist_platform_diffusion_z,broad_specialist_divergence_z,institutional_capacity_three_wgi_z,wgi_control_corruption_latest_z_local,institutional_capacity_four_wgi_z,capacity_bundle_pc1_z,capacity_bundle_pc2_z,ic_residualized_on_aipi_z,aipi_residualized_on_ic_z,conversion_position,conversion_position_label,anthropic_available,raw4,k4_configuration,country_name_bti,bti_governance_index,bti_steering_capability,bti_resource_efficiency,bti_rule_of_law,bti_stateness,bti_implementation,bti_policy_coordination,bti_anticorruption_policy,bti_governance_index_z,bti_steering_capability_z,bti_resource_efficiency_z,bti_rule_of_law_z,bti_stateness_z,bti_implementation_z,bti_policy_coordination_z,bti_anticorruption_policy_z,bti_capacity_index_z,bti_governance_performance_z,Economy,ms_ai_diffusion_h1_2025_pct_from_q1_file,ms_ai_diffusion_h2_2025_pct_from_q1_file,ms_ai_diffusion_q1_2026_pct,q1_match_status,q1_diffusion_change_from_h2_pct_points,q1_diffusion_change_from_h1_pct_points,ai_diffusion_fraction_q1_2026,logit_ai_diffusion_q1_2026,broad_mass_diffusion_q1_2026_z,claude_visible_platform_use_z,broad_claude_visible_divergence_q1_z,expected_diffusion_basic_access_q1_2026_pct,ai_capability_conversion_gap_q1_2026_pct,ai_capability_conversion_gap_q1_2026_z,capacity_bundle_pc3_z,capacity_bundle_pc4_z,k2_cluster,k2_label,k3_cluster,k3_label
ARE,United Arab Emirates,United Arab Emirates,59.4,64.0,4.5,United Arab Emirates,0.62818463146687,0.1519383341074,0.15436471998692,0.15091055631638,0.17097102105618,United Arab Emirates,1.1702182,1.2599659,0.7886704,0.4968448,1.1257177,-0.8537486999999999,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,United Arab Emirates,10986400.0,2024.0,79228.73880127602,2024.0,100.0,2024.0,63.7384451086316,2024.0,1.49469,2021.0,United Arab Emirates,8.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,1.0,5.0,United Arab Emirates,60127.05878296327,3011.0,0.3121844200171281,0.0003370874191608,1.2922019273345715,3.0,8932401.0,4704.0,0.4704,United Arab Emirates,0,Other / hybrid or not classified in CFP triad,1,11.2800943756359,16.21216870219821,2.19722457733622,1,1,1,1,1.3171529687746104,1.1282197745589435,-0.3331439766138679,1.2999451584517454,1.2678379571843217,0.7147792854553756,1.0110344234327089,0.8330287113176509,0.302679771882458,1.0941874670304808,0.64,0.5753641449035619,0.8295128959031479,0.8330287113176509,0.8524790648302519,1.0037426074600555,0.9083917528139652,1.0245991695331464,0.1818181818181818,0.1818181818181818,0.0909090909090909,29.492532009140337,34.507467990859666,4.694958277945361,1.2226863716667769,0.8703427622264956,0.8151720411714257,1.0,0.8158773170080579,1.0,4.0585138078741005,0.6061818310903228,3.452331976783778,1.1115628432052223,1.3308434588248232,1.1751149557981135,1.150870998182299,0.4469349121747698,0.46625790496664027,-0.06336469770553757,1,High-capacity integrated conversion systems,1,3,1,United Arab Emirates,6.67240547839506,10.0,8.0,4.5,8.75,10.0,9.0,7.0,1.3919522378186828,2.6390950030829936,1.88200987390206,0.0048121187006484,0.8699820807404522,2.692762505287533,2.077248331307853,1.393629205991895,1.3575702628489674,2.0127828595651693,United Arab Emirates,59.4,64.0,70.1,matched,6.099999999999994,10.699999999999996,0.701,0.8520643136439034,4.148024672415113,0.6061818310903228,3.5418428413247907,32.140457351662604,37.95954264833739,4.902279422041083,0.5991814853347398,0.33771179365746706,1.0,High-capacity profile,1.0,High-capacity integrated profile
SGP,Singapore,Singapore,58.6,60.9,2.3,Singapore,0.80056671798229,0.20861737430096,0.19519950449467,0.18053269386292,0.21621714532375,Singapore,1.9681221,2.2796267,1.2318778,1.4311756,2.1321197,0.0382995999999999,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,Singapore,6036860.0,2024.0,150689.30162582558,2024.0,94.37757178,2024.0,97.2886546863037,2023.0,1.80821,2022.0,Singapore,25.0,9.0,1.0,0.0,0.0,0.0,38.0,11.0,16.0,3.0,7.0,Singapore,121453.275988157,5375.0,0.5572870334081912,0.0011925956561561,4.571735157758412,4.0,4506976.0,5499.0,0.5499,Singapore,0,Other / hybrid or not classified in CFP triad,1,11.922975390892374,15.613394567183342,3.258096538021482,1,1,1,1,1.8614606794186448,0.9162775831992382,-0.7662265724280994,2.3614033711230857,2.3603283541317768,1.6697744548453548,2.1355809700212887,1.6289391209950366,3.2720020033415333,2.1305020600334057,0.609,0.4431107077245311,1.7177065238759432,1.6289391209950366,2.019593261322534,1.917640083762781,2.1391795696029705,1.9238873843652269,0.4210526315789473,0.2894736842105263,0.0789473684210526,36.29208104823776,24.607918951762244,3.348062303968146,1.3888691313089416,1.0,1.0,1.0,1.0,1.0,3.785371008061541,2.5863089197829514,1.199062088278589,2.1643338081109134,2.1291728695224563,2.1703656016401283,2.0304247978327417,-0.6279541729307256,0.48382700777204013,0.33234593428357934,1,High-capacity integrated conversion systems,1,3,1,Singapore,6.955061728395061,9.666666666666666,9.666666666666666,6.0,10.0,10.0,10.0,9.0,1.5802506574693058,2.4616877334939997,2.797618370793332,0.6640723806895056,1.6029928129756428,2.692762505287533,2.5965604141348164,2.3854588227237894,1.8213243910843573,2.419056417317129,Singapore,58.6,60.9,63.4,matched,2.5,4.799999999999997,0.634,0.5494156210358597,3.5970997837969985,2.5863089197829514,1.010790864014047,39.299176737157815,24.100823262842184,3.112497192872663,0.19974131960379637,-1.4579265448567837,1.0,High-capacity profile,1.0,High-capacity integrated profile
NOR,Norway,Norway,45.3,46.4,1.1,Norway,0.70576101541519,0.17248716950417,0.16694670915604,0.15901318192482,0.20731395483017,Norway,1.9610085,1.843057,0.9032646,1.9494549,1.6704537,1.9294246,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,Norway,5572279.0,2024.0,102037.52680023712,2024.0,99.0,2024.0,95.4987564086914,2024.0,1.85142,2023.0,Norway,21.0,10.0,2.0,0.0,0.0,0.0,26.0,8.0,7.0,4.0,5.0,Norway,133499.89761071428,2136.0,0.2214632750437016,0.0005894973431222,2.2597983776357173,4.0,3623426.0,2619.0,0.2618999999999999,Norway,0,Other / hybrid or not classified in CFP triad,1,11.533095934410436,15.533314684415792,3.091042453358316,1,1,1,1,1.531361657439964,1.0905239280195804,-0.8241469157986568,1.906938029836588,1.8591710913310828,2.199516413362424,1.5171093667714957,1.5036081763665667,1.178751288495438,1.9885418448433647,0.4639999999999999,-0.1442496088445469,1.181665346114983,1.5036081763665667,1.275613215144928,1.737810242978892,1.2876213524555429,1.2705839742224962,0.2692307692307692,0.3076923076923077,0.1538461538461538,32.14480173583376,14.25519826416624,1.939509474060148,1.3109427927297723,1.0,0.9635209331402724,1.0,1.0,1.0,2.507767589583436,1.391265830854499,1.1165017587289363,2.0201193063245655,2.1220554759416768,2.0600734471911983,1.7538384893297359,-0.49884328159379243,1.6607286738505875,-0.9893222665593345,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,Norway,45.3,46.4,48.6,matched,2.200000000000003,3.3000000000000043,0.486,-0.05601464155467137,2.380131373118175,1.391265830854499,0.9888655422636761,34.91791213713868,13.682087862861323,1.7669711777626198,1.3483765371346037,0.42715570391533425,1.0,High-capacity profile,1.0,High-capacity integrated profile
IRL,Ireland,Ireland,41.7,44.6,2.9,Ireland,0.69312816858292,0.17218072712421,0.17386642098427,0.15802650153637,0.18905451893806,Ireland,1.572589,1.6115533,0.7099698999999999,1.5913218999999998,1.7944361,1.6376655,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,Ireland,5395790.0,2024.0,133437.47011701888,2024.0,97.18769836,2024.0,77.5933380126953,2022.0,1.58829,2023.0,Ireland,8.0,2.0,0.0,0.0,0.0,0.0,56.0,3.0,12.0,17.0,24.0,Ireland,163661.46945325768,2077.0,0.2153460778397792,0.0005889041053165,2.257524240446821,4.0,3526890.0,2577.0,0.2577,Ireland,1,EU regulatory-sovereignty model,1,11.801388258457656,15.501129577835645,2.19722457733622,1,1,1,1,1.7585165698108798,1.022207683515104,-0.8474258263079458,1.6659446488722494,1.9937590406699133,1.8334626720117784,1.4346981106718608,0.8330287113176509,1.1766922619090523,1.831055453851314,0.446,-0.2168457347272198,1.180967471415675,0.8330287113176509,1.2693030650288215,1.3689995956441483,1.4961861120481852,1.240629686023511,0.2142857142857142,0.0535714285714285,0.3035714285714285,34.873054941970224,9.726945058029775,1.3234121156444465,1.3903621266629915,1.0,0.9393632096863423,1.0,0.9303388070971814,1.0,2.349168544530981,1.389709998260015,0.959458546270966,1.8601320776165464,1.7334288373972742,1.8407398689046945,1.6082530612185995,-0.03203283092057096,1.4333735570354307,-0.8079771510356976,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,Ireland,41.7,44.6,48.4,matched,3.799999999999997,6.699999999999996,0.484,-0.06402185876493102,2.3636858540549475,1.389709998260015,0.9739758557949325,37.804651449492944,10.595348550507055,1.3683346938527605,1.5853894361413445,-0.590030708251715,1.0,High-capacity profile,1.0,High-capacity integrated profile
FRA,France,France,40.9,44.0,3.1,France,0.69750864803791,0.18178890645504,0.1621610969305,0.17228455841541,0.18127408623695,France,1.2182239,1.2007009,-0.2413653999999999,0.97866,1.1461527,1.1486676999999998,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,France,68551653.0,2024.0,62556.91810454,2024.0,88.65381638,2024.0,71.5346908569336,2024.0,2.17832,2023.0,France,34.0,14.0,8.0,0.0,1.0,2.0,61.0,14.0,16.0,13.0,17.0,France,75225.64794338809,21314.0,2.209863410244128,0.0005070676147091,1.9438095632497088,4.0,42033842.0,32332.0,3.2332,France,1,EU regulatory-sovereignty model,1,11.043832110970882,18.043098077467423,3.555348061489413,1,1,1,1,1.117116928917241,0.7005157780119866,0.9911344118880536,1.2382507979605242,1.290020982716486,1.2072506762504418,1.4632744734662082,1.8519496166893217,0.8926518513119609,1.2451741523091506,0.44,-0.2411620568168881,1.079704512378216,1.8519496166893217,1.46715120185612,1.211847620194528,1.1433797874742628,1.6734850968655226,0.2622950819672131,0.2295081967213114,0.2131147540983606,28.044113895753643,15.955886104246355,2.17089876217309,0.9088163534646138,0.9152995407486556,0.9477399764337198,0.901323596295154,0.8810917020114141,1.0,2.296302196180162,1.1639557010479369,1.132346495132226,1.2649471527787615,1.378874759575612,1.3027261943769401,1.2945661172850422,-0.29244539369710504,-0.2635087077455139,0.7813563363999961,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,France,40.9,44.0,47.8,matched,3.799999999999997,6.899999999999999,0.478,-0.0880568553911828,2.3143492968652652,1.1639557010479367,1.1503935958173286,30.61357366834348,17.186426331656516,2.219538441878329,-0.43278114926149064,-1.2217233375468315,1.0,High-capacity profile,1.0,High-capacity integrated profile
ESP,Spain,Spain,39.7,41.8,2.1,Spain,0.64833119511604,0.16955207288265,0.14982847869396,0.15794710814953,0.1710035353899,Spain,0.7145938,1.110811,-0.002992,0.9317736,0.6208378999999999,1.1484423,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,Spain,48848840.0,2024.0,57965.29481388373,2024.0,95.7574516,2024.0,93.7689666748047,2024.0,1.49362,2023.0,Spain,28.0,21.0,11.0,0.0,0.0,0.0,52.0,9.0,22.0,8.0,11.0,Spain,53518.68827011927,10582.0,1.0971556069814845,0.0003288386253812,1.2605807317206792,3.0,32179918.0,15640.0,1.564,Spain,1,EU regulatory-sovereignty model,1,10.967599745158742,17.7042411900094,3.367295829986474,1,1,1,1,1.0525733142708646,0.9682933211367224,0.746045300905985,1.1446761772717564,0.719770352874362,1.1593273010282117,1.1424619344651532,1.7108649861561789,0.2740496246863242,1.0079246103914434,0.418,-0.3309890152066816,0.8156217412137408,1.7108649861561789,1.2151747722328028,1.0043993436559486,0.7716663951392903,1.2382194096885024,0.4230769230769231,0.173076923076923,0.1538461538461538,26.646623667261085,15.153376332738912,2.061712255186576,1.0104333177037934,0.8446577150089056,0.8536982039315415,0.9635725946160032,0.8160831200618232,1.0,2.102458918893829,0.575213075148564,1.527245843745265,1.0239301576939177,0.874976080871836,0.9930796183289159,1.1109684217194227,0.16941438567179762,-0.10663264307845731,0.5178386084840204,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,Spain,39.7,41.8,44.2,matched,2.4000000000000057,4.5,0.442,-0.2330490803036129,2.0183299537271733,0.575213075148564,1.4431168785786093,29.161625569040535,15.038374430959468,1.9421286024654034,-0.11001481347100908,-0.36029777807129576,1.0,High-capacity profile,1.0,High-capacity integrated profile
NZL,New Zealand,New Zealand,37.6,40.5,2.9,New Zealand,0.75367978215218,0.19386158883572,0.18136605620384,0.15871722996235,0.21973490715027,New Zealand,1.9285412,1.8491848,1.1506563,1.6674536,1.8444942,1.6892342,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,New Zealand,5287500.0,2024.0,55551.14365863703,2024.0,93.51930237,2024.0,77.2406463623047,2024.0,1.54848,2023.0,New Zealand,11.0,5.0,3.0,0.0,0.0,0.0,13.0,3.0,4.0,1.0,4.0,New Zealand,74633.69897073443,3647.0,0.3781257322492415,0.001056109930416,4.04852631687659,4.0,3453239.0,2739.0,0.2739,New Zealand,0,Other / hybrid or not classified in CFP triad,1,10.925059382770106,15.48085610233667,2.4849066497880004,1,1,1,1,1.0165556893725962,0.8839243912304487,-0.8620892676322011,1.913317017472092,2.0480991488368643,1.9112781584941323,1.829710778786807,1.0488598055752794,2.798283478853356,1.9575647749343628,0.405,-0.3846743384390906,1.6190963822597029,1.0488598055752794,1.7157474897981098,1.988693101176583,1.7222301519489382,1.2615992710899977,0.3076923076923077,0.2307692307692307,0.0769230769230769,27.018713640310665,13.481286359689337,1.8342138869342903,0.9502400403015224,1.0,1.0,0.9266991133818956,1.0,1.0,1.987915164133724,2.366468778529298,-0.3785536143955748,1.9886503296274871,2.0895708615965867,2.028127848855408,1.8096099569549955,-1.2125349115065511,0.7810617955504476,-0.05629324070969989,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,New Zealand,37.6,40.5,43.0,matched,2.5,5.399999999999999,0.43,-0.2818511521409879,1.919656839347809,2.366468778529298,-0.4468119391814891,29.42231582167959,13.57768417832041,1.7534879796363485,-0.030416768329564466,-0.15605436341939766,1.0,High-capacity profile,1.0,High-capacity integrated profile
NLD,The Netherlands,Netherlands,36.3,38.9,2.6,Netherlands,0.76649311184883,0.19096231460571,0.16897539794445,0.18216648697853,0.22438891232014,Netherlands,1.9100133,1.7519973999999998,0.4281196,1.7069218,1.7218270999999998,1.6536632999999998,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,Netherlands,17993485.0,2024.0,86173.62908417381,2024.0,97.00679779,2024.0,86.5938262939453,2023.0,2.26719,2023.0,The Netherlands,13.0,6.0,1.0,0.0,1.0,0.0,25.0,2.0,12.0,1.0,9.0,The Netherlands,105769.21585185928,7752.0,0.8037375038102881,0.0006681391239413,2.561266349939384,4.0,11602374.0,10296.0,1.0295999999999998,The Netherlands,1,EU regulatory-sovereignty model,1,11.364119482748793,16.705520305898293,2.6390573296152584,1,1,1,1,1.3882944593519808,1.0153884833895004,0.0236883925302022,1.8121457614051968,1.9149390112661984,1.9516192671726835,1.913299427421592,1.1645100775026378,1.4517034098308506,1.892901346614693,0.389,-0.4515176155531489,1.270116197887012,1.1645100775026378,1.656046688552831,2.0826963699271075,1.3487673943639449,1.9734871437355108,0.48,0.08,0.04,30.48610906069107,8.413890939308928,1.14476283585053,1.2018414713707406,1.0,1.0,1.0,1.0,1.0,1.846938235198208,1.588456986133869,0.2584812490643389,1.9229600650245868,2.0710330809334456,1.973993242878217,1.9029305194889303,-0.8547154291776847,0.38953092424383806,0.3386349483362374,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,Netherlands,36.3,38.9,42.1,matched,3.200000000000003,5.800000000000004,0.42100000000000004,-0.3186696438906137,1.8456520035632862,1.5884569861338693,0.25719501742941686,33.201422841537045,8.898577158462956,1.1492054078077372,-0.39050155303354916,0.32519116648178403,1.0,High-capacity profile,1.0,High-capacity integrated profile
GBR,United Kingdom,United Kingdom,36.4,38.9,2.5,United Kingdom,0.73094530403614,0.18156261742115,0.1732160449028,0.16298899054527,0.21317765116692,United Kingdom,1.5097547999999998,1.1849098999999998,0.2577085,1.269914,1.5112377,1.3006116,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,United Kingdom,69226000.0,2024.0,62009.490776536586,2024.0,95.4720993,2024.0,80.4146499633789,2023.0,2.67614,2023.0,United Kingdom,61.0,24.0,9.0,0.0,2.0,6.0,93.0,27.0,31.0,15.0,18.0,United Kingdom,83152.8295627269,30474.0,3.159584196480228,0.0006952681497122,2.665263643801849,4.0,43830571.0,35869.0,3.5869,United Kingdom,0,Other / hybrid or not classified in CFP triad,1,11.035042729353046,18.05288707256521,4.127134385045092,1,1,1,1,1.1096752280848206,0.957536724626268,0.9982146165252438,1.2218125013855323,1.6863356328956007,1.5049462708573078,1.681400827499615,2.280927574345177,1.5458636012302502,1.4710314683794803,0.389,-0.4515176155531489,1.2989002683044053,2.280927574345177,1.4624915403117182,1.856247288597897,1.4765833403658135,1.3912841712012285,0.3333333333333333,0.2903225806451613,0.1612903225806451,27.228705067151264,11.671294932848737,1.5879531576710966,1.0336059763555443,0.982549294046059,1.0,0.9777678109394043,1.0,1.0,1.846938235198208,1.6526278107843502,0.194310424413858,1.4943910168098258,1.670561128820267,1.5496131970510376,1.6213630720544794,-0.6799713256396577,-0.1912192274889614,0.7940207960475341,1,High-capacity integrated conversion systems,1,3,1,,,,,,,,,,,,,,,,,,,,United Kingdom,36.4,38.9,42.2,matched,3.3000000000000043,5.800000000000004,0.42200000000000004,-0.31456855463636557,1.8538747630949,1.6526278107843502,0.2012469523105498,29.797221520432068,12.402778479567935,1.6017549600056356,-1.002351274740672,0.6417813298767291,1.0,High-capacity profile,1.0,High-capacity integrated profile
QAT,Qatar,Qatar,35.7,38.3,2.6,Qatar,0.53459213674068,0.12675407528877,0.14447437226772,0.12900191545486,0.13436177372932,Qatar,0.7548292999999999,1.1342702,0.9511752,0.5895929999999999,0.9663365,-0.9543765,2024.0,2024.0,2024.0,2024.0,2024.0,2024.0,Qatar,2857822.0,2024.0,126046.35485561156,2024.0,98.08540344,2024.0,43.0178909301758,2024.0,0.68058,2021.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Qatar,93076.97642309398,476.0,0.049352302865544,0.0002000643063841,0.7669330494269564,2.0,2379235.0,634.0,0.0634,Qatar,0,Other / hybrid or not classified in CFP triad,0,11.74440501395605,14.865570354216782,0.0,1,0,1,1,1.710270597969006,1.0560474364483905,-1.3071144171514704,1.1690970047691944,1.0948231674144664,0.8095787750682789,0.4004772660245225,-0.8154208455650402,-0.1729039307602112,1.02449964908398,0.3829999999999999,-0.4768340347247419,0.5692453032179021,-0.8154208455650402,0.3338939600899157,0.2642958751055699,0.6102900333280206,0.3594823291701257,,,,34.39265586029458,3.907344139705416,0.5316187707063985,1.3831590172086985,0.8495929868980876,0.6361956287302384,1.0,0.5841550568875499,1.0,1.79407188684739,0.025944713468646,1.7681271733787438,1.0407684031413034,0.9152330378864897,1.0159996221298295,0.8038660745219557,1.2572598370259827,1.823433142314704,-1.5498682512126167,2,Intermediate mixed-conversion systems,1,2,3,Qatar,5.977459490740741,8.0,7.666666666666667,3.75,8.5,8.0,9.0,6.0,0.9289968592701842,1.5746513855490285,1.6988881745238056,-0.3248180122937801,0.7233799342934141,1.621910652676816,2.077248331307853,0.897714397625948,0.9202196682685304,1.4665683001589394,Qatar,35.7,38.3,41.8,matched,3.5,6.099999999999994,0.418,-0.33098901520668167,1.8209837249684449,0.025944713468646075,1.7950390114997987,37.26644141564292,4.533558584357074,0.5854857410323625,2.8668908873036627,-0.16311087541219677,1.0,High-capacity profile,2.0,Intermediate readiness-access profile
