model,outcome,term,coef,se_hc3,p_hc3,ci_lower,ci_upper,n,r2
access_baseline_basic_access_pc_model,gap_basic_access_q1_pct,const,3.608224830031759e-16,0.6025584495556544,0.9999999999999996,-1.180992859709377,1.180992859709378,138,0.21167142592577248
access_baseline_basic_access_pc_model,gap_basic_access_q1_pct,capacity_bundle_pc1_z,1.3600736686610342,0.8721362140894816,0.11888425581811984,-0.3492819005674639,3.0694292378895325,138,0.21167142592577248
access_baseline_basic_access_pc_model,gap_basic_access_q1_pct,capacity_bundle_pc2_z,-3.0490714594618784,0.5904436891945377,2.416833882530875e-07,-4.206319825182134,-1.891823093741623,138,0.21167142592577248
access_baseline_basic_access_pc_model,gap_basic_access_q1_pct,policy_intensity_z,0.5077706077815979,0.8460166079399442,0.5483796962437579,-1.150391474103436,2.1659326896666315,138,0.21167142592577248
access_baseline_minimal_economic_scale_pc_model,gap_minimal_economic_scale_q1_pct,const,1.0880185641326534e-14,0.5885795371735273,0.9999999999999852,-1.1535946948973566,1.1535946948973783,138,0.2657206495237695
access_baseline_minimal_economic_scale_pc_model,gap_minimal_economic_scale_q1_pct,capacity_bundle_pc1_z,1.2557355324524142,0.8691560515216221,0.14852090206520874,-0.4477790254750047,2.9592500903798333,138,0.2657206495237695
access_baseline_minimal_economic_scale_pc_model,gap_minimal_economic_scale_q1_pct,capacity_bundle_pc2_z,-3.5650947254998546,0.5617723038657074,2.2076125886118873e-10,-4.666148208588733,-2.4640412424109766,138,0.2657206495237695
access_baseline_minimal_economic_scale_pc_model,gap_minimal_economic_scale_q1_pct,policy_intensity_z,0.6513651466356013,0.8171635270343569,0.42539004320410145,-0.9502459358314611,2.252976229102664,138,0.2657206495237695
access_baseline_education_rd_access_pc_model,gap_education_rd_access_q1_pct,const,-0.1611527374150518,0.5935920356749773,0.7860162165037534,-1.3245717488478224,1.0022662740177186,121,0.10274618799126611
access_baseline_education_rd_access_pc_model,gap_education_rd_access_q1_pct,capacity_bundle_pc1_z,1.021639603407465,0.9456840394573962,0.2800005435506483,-0.8318670546833868,2.875146261498317,121,0.10274618799126611
access_baseline_education_rd_access_pc_model,gap_education_rd_access_q1_pct,capacity_bundle_pc2_z,-2.1567242803410114,0.5978557592204481,0.0003092419833257782,-3.3285000363629402,-0.9849485243190828,121,0.10274618799126611
access_baseline_education_rd_access_pc_model,gap_education_rd_access_q1_pct,policy_intensity_z,0.03568190381837294,0.8444893439920879,0.9662972997404915,-1.619486795733976,1.6908506033707218,121,0.10274618799126611
access_baseline_aipi_human_innovation_access_pc_model,gap_aipi_human_innovation_access_q1_pct,const,6.800116025829084e-16,0.5963753345489695,0.9999999999999991,-1.1688741769840054,1.1688741769840068,138,0.030432954117840305
access_baseline_aipi_human_innovation_access_pc_model,gap_aipi_human_innovation_access_q1_pct,capacity_bundle_pc1_z,0.22533628744080045,0.8961161908644911,0.8014594244014893,-1.5310191726168232,1.9816917474984241,138,0.030432954117840305
access_baseline_aipi_human_innovation_access_pc_model,gap_aipi_human_innovation_access_q1_pct,capacity_bundle_pc2_z,-1.0323813606700316,0.6094324732904153,0.09026442530350173,-2.226847059328414,0.16208433798835076,138,0.030432954117840305
access_baseline_aipi_human_innovation_access_pc_model,gap_aipi_human_innovation_access_q1_pct,policy_intensity_z,0.3769887397417693,0.8594266101989863,0.660914101562662,-1.3074564636035877,2.0614339430871262,138,0.030432954117840305
access_baseline_readiness_enriched_access_pc_model,gap_readiness_enriched_access_q1_pct,const,7.077671781985373e-16,0.596906663757232,0.999999999999999,-1.169915563096134,1.1699155630961353,138,0.025494489233566564
access_baseline_readiness_enriched_access_pc_model,gap_readiness_enriched_access_q1_pct,capacity_bundle_pc1_z,0.2198349923785436,0.8991562882316794,0.8068511120665884,-1.542478949028264,1.9821489337853513,138,0.025494489233566564
access_baseline_readiness_enriched_access_pc_model,gap_readiness_enriched_access_q1_pct,capacity_bundle_pc2_z,-0.9525166599207482,0.6078959606932813,0.11713634515612646,-2.143970849226956,0.23893752938545965,138,0.025494489233566564
access_baseline_readiness_enriched_access_pc_model,gap_readiness_enriched_access_q1_pct,policy_intensity_z,0.31765596689733794,0.8581892483416851,0.7112731454538422,-1.3643640517718651,1.9996759855665411,138,0.025494489233566564
