iso3,country_name,institutional_capacity_z,imf_aipi_index_2023_z,access_assets_z,policy_intensity_z,ms_ai_diffusion_q1_2026_pct
CHN,China,0.1680284993952458,1.0584592737095264,0.6102841271999971,1.5369577433923376,16.4
LBY,Libya,-1.6200037180098903,-1.4888538997888023,0.1578961564879921,-0.8154208455650402,15.0
IRN,Iran,-1.1322374682423977,-0.6189364482453064,0.3609400315476433,-0.8154208455650402,12.6
NIC,Nicaragua,-1.1954565067412826,-0.9250999183171732,-0.4396535052367804,-0.8154208455650402,11.8
MLI,Mali,-1.0149489834248409,-1.1550397616685764,-1.312117313742029,-0.8154208455650402,10.1
MMR,Myanmar,-1.5913052118925657,-0.9506789218169328,-0.8981390256507251,-0.8154208455650402,10.0
VEN,Venezuela,-1.8680465726336408,-1.2957135636509058,0.2258604798235692,-0.8154208455650402,10.3
BLR,Belarus,-1.0282319205015629,-0.015801908943359,0.7438962263402107,-0.8154208455650402,9.6
RUS,Russia,-0.8117982877118936,0.5611604346859415,0.899047603219661,1.0488598055752794,9.5
CAF,Central African Republic,-1.5097747563768606,-1.883780987739229,-2.1544187404017263,-0.8154208455650402,8.7
COD,Democratic Republic of the Congo,-1.5263639935095912,-1.472560082895129,-1.8885121487942853,-0.8154208455650402,8.7
SYR,Syria,-1.840705361371512,-1.1419759124878526,-1.214960676710414,-0.8154208455650402,7.5
ETH,Ethiopia,-0.8026683560975103,-1.4326124577470547,-1.5956942324335268,-0.8154208455650402,7.6
SDN,Sudan,-1.7479467941354734,-1.56758861111917,-1.8452332873032244,-0.8154208455650402,7.6
