model,outcome,term,coef,se_hc3,p_hc3,ci_lower,ci_upper,n,r2
broad_q1_channel,ms_ai_diffusion_q1_2026_pct,const,19.654347826086955,0.5875323807040542,2.3777868636946725e-245,18.50280552015593,20.80589013201798,138,0.7039606503580096
broad_q1_channel,ms_ai_diffusion_q1_2026_pct,institutional_capacity_z,6.2605108460334495,1.8536594571161726,0.0007318009568027402,2.6274050704836824,9.893616621583217,138,0.7039606503580096
broad_q1_channel,ms_ai_diffusion_q1_2026_pct,imf_aipi_index_2023_z,0.4517182760360893,2.2197754004819337,0.8387463644713364,-3.8989615626764755,4.802398114748654,138,0.7039606503580096
broad_q1_channel,ms_ai_diffusion_q1_2026_pct,access_assets_z,2.7961191897434126,1.0979438771890886,0.010875098653801254,0.6441887334065308,4.948049646080294,138,0.7039606503580096
broad_q1_channel,ms_ai_diffusion_q1_2026_pct,policy_intensity_z,1.746036611008504,0.8629136620483612,0.043029881940835776,0.054756911626148375,3.4373163103908597,138,0.7039606503580096
broad_q1_channel,ms_ai_diffusion_q1_2026_pct,log_population_z,-0.8711340667788223,0.6357783022763107,0.17062907422422824,-2.1172366413924113,0.37496850783476643,138,0.7039606503580096
claude_visible_platform_use,log_anthropic_per_capita_index,const,0.5147653875330266,0.018145545961076717,4.923053452136179e-177,0.4792007709695,0.5503300040965532,124,0.8282553034187244
claude_visible_platform_use,log_anthropic_per_capita_index,institutional_capacity_z,-0.0339949551737256,0.07585973360379958,0.6540600178333567,-0.18267730091397566,0.11468739056652445,124,0.8282553034187244
claude_visible_platform_use,log_anthropic_per_capita_index,imf_aipi_index_2023_z,0.40624900882847303,0.10359224713055783,8.795710437423357e-05,0.20321193537500692,0.6092860822819391,124,0.8282553034187244
claude_visible_platform_use,log_anthropic_per_capita_index,access_assets_z,-0.013956231832420105,0.0432278131118368,0.7468065251974592,-0.09868118866204856,0.07076872499720835,124,0.8282553034187244
claude_visible_platform_use,log_anthropic_per_capita_index,policy_intensity_z,0.069252582807335,0.030130448481582948,0.02153759923927853,0.01019798894539286,0.12830717666927713,124,0.8282553034187244
claude_visible_platform_use,log_anthropic_per_capita_index,log_population_z,-0.06063941531892181,0.023906673615767666,0.011196490094618339,-0.10749563459598038,-0.013783196041863233,124,0.8282553034187244
