model,outcome,term,coef,se_hc3,p_hc3,ci_lower,ci_upper,n,r2
conversion_ic_only,ai_capability_conversion_gap_q1_2026_pct,const,4.440892098500626e-16,0.6357379233143289,0.9999999999999994,-1.246023433302371,1.2460234333023719,138,0.09902854942490658
conversion_ic_only,ai_capability_conversion_gap_q1_2026_pct,institutional_capacity_z,2.475400094847291,0.705653911120706,0.00045157040777842077,1.092343843500879,3.858456346193703,138,0.09902854942490658
conversion_aipi_only,ai_capability_conversion_gap_q1_2026_pct,const,4.440892098500626e-16,0.6514948793651534,0.9999999999999994,-1.2769064996679673,1.2769064996679682,138,0.05298005112668369
conversion_aipi_only,ai_capability_conversion_gap_q1_2026_pct,imf_aipi_index_2023_z,1.7822929780855237,0.6936263950166748,0.010183693520774601,0.42281022512648825,3.141775731044559,138,0.05298005112668369
conversion_ic_aipi,ai_capability_conversion_gap_q1_2026_pct,const,4.440892098500626e-16,0.6301093411674576,0.9999999999999994,-1.234991615010478,1.234991615010479,138,0.12824078362175662
conversion_ic_aipi,ai_capability_conversion_gap_q1_2026_pct,institutional_capacity_z,5.889368447417181,1.8126911975186573,0.0011582613493007893,2.336558985187831,9.442177909646531,138,0.12824078362175662
conversion_ic_aipi,ai_capability_conversion_gap_q1_2026_pct,imf_aipi_index_2023_z,-3.611807593590982,1.7348202123747027,0.03734710797881786,-7.011992729497527,-0.21162245768443677,138,0.12824078362175662
conversion_ic_aipi_access_policy,ai_capability_conversion_gap_q1_2026_pct,const,3.608224830031759e-16,0.6015518530678241,0.9999999999999996,-1.1790199668462653,1.1790199668462662,138,0.22588674301428602
conversion_ic_aipi_access_policy,ai_capability_conversion_gap_q1_2026_pct,institutional_capacity_z,4.805535738048952,1.8444722761291041,0.009177465694950213,1.19043650635329,8.420634969744613,138,0.22588674301428602
conversion_ic_aipi_access_policy,ai_capability_conversion_gap_q1_2026_pct,imf_aipi_index_2023_z,0.28666869042435184,2.273188561640845,0.8996459379374985,-4.168699020460113,4.742036401308817,138,0.22588674301428602
conversion_ic_aipi_access_policy,ai_capability_conversion_gap_q1_2026_pct,access_assets_z,-4.360108808930357,1.1755035695712035,0.00020796337225788318,-6.66405346898819,-2.056164148872524,138,0.22588674301428602
