covariance_type,k,n,aic,bic,converged,n_iter,ari_with_kmeans_k3_if_k3,cluster_counts,q1_broad_eta2,q1_gap_eta2,claude_eta2
full,1,138,971.0239791778075,1029.5690528809516,True,2,,"{""1"": 138}",,,
full,2,138,782.9496960533318,902.9670971447772,True,9,,"{""1"": 56, ""2"": 82}",0.4209039851525203,0.036718057641696854,0.5316692093369121
full,3,138,-97.86357336680595,83.62615511294075,True,13,0.3885018311318517,"{""1"": 40, ""2"": 22, ""3"": 76}",0.5400367818393089,0.0956720783254905,0.6317562610558147
full,4,138,-98.84054186842809,144.12151399961994,True,19,,"{""1"": 40, ""2"": 16, ""3"": 22, ""4"": 60}",0.6043682840101673,0.09606378937641831,0.679417110186155
full,5,138,-118.3760992949451,186.0582839614042,True,27,,"{""1"": 41, ""2"": 9, ""3"": 21, ""4"": 51, ""5"": 16}",0.5944252146347735,0.11763583946971091,0.665143224988365
full,6,138,-106.95346026101328,258.95325038363734,True,12,,"{""1"": 19, ""2"": 27, ""3"": 7, ""4"": 16, ""5"": 44, ""6"": 25}",0.6271431734637154,0.18800803551296258,0.7966159661222793
tied,1,138,971.0239791778076,1029.5690528809516,True,2,,"{""1"": 138}",,,
tied,2,138,889.5394184314837,965.648014245571,True,6,,"{""1"": 54, ""2"": 84}",0.37349386376631566,0.04610303412541743,0.4527675632391302
tied,3,138,872.8074786409704,966.479596566001,True,13,0.5006886014344506,"{""1"": 33, ""2"": 66, ""3"": 39}",0.6443186293312292,0.19802938377974083,0.7066711871651489
tied,4,138,815.7316389482774,926.9672789842512,True,12,,"{""1"": 27, ""2"": 28, ""3"": 46, ""4"": 37}",0.5773021133405319,0.15044174175051,0.772733825004015
tied,5,138,814.4953422260523,943.2945043729694,True,13,,"{""1"": 27, ""2"": 29, ""3"": 33, ""4"": 36, ""5"": 13}",0.5809491608393439,0.15606992234976033,0.774387432240071
tied,6,138,796.1340185683316,942.4967028261918,True,24,,"{""1"": 26, ""2"": 21, ""3"": 36, ""4"": 10, ""5"": 36, ""6"": 9}",0.5886292634488692,0.18122197324032616,0.7702230455905242
diag,1,138,1978.1351758227934,2007.4077126743655,True,2,,"{""1"": 138}",,,
diag,2,138,624.7851091501221,686.2574365384235,True,15,,"{""1"": 63, ""2"": 75}",0.32419300159852366,0.016466236035630657,0.4487995045504219
diag,3,138,404.5758043983639,498.2479223233945,True,11,0.48316892920488214,"{""1"": 26, ""2"": 36, ""3"": 76}",0.6036090276799292,0.19730112615439185,0.7041195777146062
diag,4,138,369.9964965201858,495.8684049819457,True,11,,"{""1"": 26, ""2"": 34, ""3"": 76, ""4"": 2}",0.6145452818770201,0.19755930931628407,0.7213826544807669
diag,5,138,231.28137489729332,389.35307389578236,True,7,,"{""1"": 26, ""2"": 34, ""3"": 25, ""4"": 2, ""5"": 51}",0.6674618991908636,0.20627561153214646,0.7730664223836087
diag,6,138,157.30304054328565,347.574530078504,True,7,,"{""1"": 19, ""2"": 21, ""3"": 23, ""4"": 21, ""5"": 2, ""6"": 52}",0.6764557725772918,0.1671354741128013,0.8099959286583313
spherical,1,138,1970.1351758227934,1987.6986979337366,True,2,,"{""1"": 138}",,,
spherical,2,138,1506.461661206762,1544.5159591138058,True,4,,"{""1"": 61, ""2"": 77}",0.47458933689830185,0.027951086679593024,0.5312406763269623
spherical,3,138,1266.4711852547402,1325.0162589578842,True,3,0.9500851597853375,"{""1"": 28, ""2"": 58, ""3"": 52}",0.6539044174368329,0.19651468416090315,0.7525701617931161
spherical,4,138,1174.6090047899934,1253.6448542892379,True,9,,"{""1"": 26, ""2"": 35, ""3"": 26, ""4"": 51}",0.6745082317618497,0.2097804056697575,0.7732863745097085
spherical,5,138,1124.263340326631,1223.7899656219759,True,16,,"{""1"": 26, ""2"": 35, ""3"": 23, ""4"": 35, ""5"": 19}",0.6821283718326129,0.24522108567664716,0.784497608808197
spherical,6,138,1094.9257481212098,1214.9431492126553,True,15,,"{""1"": 19, ""2"": 18, ""3"": 27, ""4"": 19, ""5"": 20, ""6"": 35}",0.6690438441771076,0.20580220808877045,0.806612024433712
