solution,k,outcome,n,anova_F,anova_p,eta_squared,kruskal_H,kruskal_p
k2,2,ms_ai_diffusion_q1_2026_pct,138,123.96373129458672,7.217249032865498e-21,0.4768501001169003,70.33728191547074,4.9984064069166056e-17
k2,2,log_anthropic_per_capita_index,124,149.0429624865403,6.879154595942016e-23,0.5498868560143547,72.7714537815126,1.455672049855235e-17
k2,2,broad_claude_visible_divergence_q1_z,124,0.430897444886585,0.5127851455639287,0.003519515529815972,3.1950252100840544,0.07386263137150935
k2,2,ai_capability_conversion_gap_q1_2026_pct,138,4.173993573136744,0.04298038192332419,0.029777232329183327,2.8444740759116485,0.09168859112063187
k2,2,q1_diffusion_change_from_h2_pct_points,138,102.66312328472603,2.539375036063931e-18,0.43015913758175606,69.24564673439934,8.693259989622052e-17
k3,3,ms_ai_diffusion_q1_2026_pct,138,130.5078652728982,2.830999900398818e-32,0.6591044506895205,84.81289860828713,3.829244260650787e-19
k3,3,log_anthropic_per_capita_index,124,190.66764528416851,3.9664015178265826e-38,0.7591250261093506,95.01990988852339,2.3264232647123543e-21
k3,3,broad_claude_visible_divergence_q1_z,124,0.662720162732722,0.5173080616115527,0.01083536116394846,4.945027554732349,0.08437249852279487
k3,3,ai_capability_conversion_gap_q1_2026_pct,138,17.082284245747026,2.4358162157739644e-07,0.201960545261651,22.447626164079054,1.3352417784810843e-05
k3,3,q1_diffusion_change_from_h2_pct_points,138,70.09044239812846,1.3283014292251796e-21,0.5094135986227624,75.67057182623061,3.7012132369610544e-17
