iso3,cooks_d,leverage
ARE,0.12240887755180306,0.02228467310055718
SGP,0.10132552805425205,0.05150273415927792
QAT,0.05349584085348089,0.08573498848899412
LBN,0.04787611906363168,0.05401042000624113
RWA,0.04034385258618825,0.06814929439638788
JPN,0.038045146847700266,0.05474310655231282
RUS,0.0348375278944785,0.10912807990536454
GUY,0.03206430489945644,0.06584978141214769
FRA,0.02927544696840518,0.03433231393232291
ARM,0.02568909925299231,0.031522495822232224
FIN,0.01908392279778688,0.05012497332254242
ESP,0.01876300423985791,0.030706013609368702
CHN,0.01860531086806586,0.10069534459857582
IRL,0.01812755200292628,0.041099072305323205
SUR,0.017395751492440402,0.06421042165635968
NOR,0.01709884632157942,0.05421718809710707
LBY,0.01529107229684057,0.08132489028164995
DNK,0.015191157312473719,0.04959398828802075
LTU,0.011532451347995342,0.035374033719242644
CAF,0.01081143229958989,0.07013272441449944
BWA,0.010810961312514727,0.05373263641830636
MAR,0.010400883687609455,0.03581874743376696
UKR,0.009865443985808272,0.04832327168418698
COD,0.00913065902753443,0.045011052819270876
BLR,0.008838527865717236,0.09171258991434825
TUR,0.008642169857342568,0.07884419194510085
GBR,0.008069886818984828,0.046618711118436795
SDN,0.007956556334330124,0.04267742051686005
ISR,0.007814956475778735,0.05940618596121386
PRT,0.007632063543020131,0.049164837866160035
JOR,0.007625318463266616,0.028081322611060503
GHA,0.0075449191379259786,0.03571433829351299
THA,0.00740438890255862,0.01930126688664722
SYR,0.00645622260656414,0.06402322082161536
KEN,0.006251787659042029,0.03846930283219309
MYS,0.005817358358812144,0.09609806421240422
MMR,0.005683105109423369,0.0486041626406849
KAZ,0.005570386955962586,0.02526772251812037
VEN,0.005459140512217331,0.07852781205117121
BGR,0.00535580747617295,0.0358245721165825
LKA,0.005354503283892463,0.019743856708897105
IDN,0.005292916935956622,0.06918367519907566
PER,0.005269933543242759,0.04747621044797623
DEU,0.005254246331442428,0.0439353159803343
NZL,0.005059008774840784,0.04970239947740969
IND,0.0047997977383321235,0.11008147670637225
CHL,0.004786296570461199,0.024554850361733164
VNM,0.004538737154888466,0.023858961277915442
TUN,0.004397357375599836,0.0300811638909451
PHL,0.004110747755851158,0.06863032768194041
ROU,0.004025253522619568,0.014608197048775983
USA,0.003861669287721697,0.07307568693991386
MOZ,0.003508878929284644,0.045703067060989255
SVN,0.003440172662480951,0.05363747929406926
KWT,0.0033810672873716067,0.06789252520832827
NAM,0.0033354173273227993,0.03293146455080449
LAO,0.0032469863215794158,0.024687061360399644
HTI,0.0030837158341262736,0.04084523893443973
NLD,0.0030628309592654474,0.040759657431155054
KHM,0.0028789417042663994,0.013894030620256152
